english,hindi,link
Weed management,खरपतवार प्रबंधन,https://en.wikipedia.org/wiki/Organic_farming#Weed_management
Bamboo Production in India and worldwide-bamboo,भारत और दुनिया भर में बांस उत्पादन-बांस,https://nbm.nic.in/
Crops prices,फसलों की कीमतें,https://agmarknet.gov.in/
Vermicomposting,कृमि खाद,https://en.wikipedia.org/wiki/Permaculture#Vermicomposting
Temperature,तापमान,https://en.wikipedia.org/wiki/Temperature
Sericulture,रेशम के कीड़ों का पालन,https://en.wikipedia.org/wiki/Sericulture
Bamboo working,बांस काम कर रहा,https://en.wikipedia.org/wiki/Bamboo#Bambooworking
Animal husbandry Products,पशुपालन उत्पाद,https://en.wikipedia.org/wiki/Animal_husbandry#Products
Dairy Entrepreneurship Development Scheme' (DEDS),डेयरी उद्यमिता विकास योजना' (डीईडीएस),https://krishijagran.com/animal-husbandry/dairy-entrepreneurship-development-scheme-how-farmers-can-get-loans-up-to-rs-20-lakh-under-this-scheme/
Cultivator,खेतिहर,https://en.wikipedia.org/wiki/Cultivator
Fodder,चारा,https://en.wikipedia.org/wiki/Fodder
Sericulture Production in india and worldwide,भारत और दुनिया भर में रेशम उत्पादन उत्पादन,http://mospi.nic.in/sites/default/files/Statistical_year_book_india_chapters/Sericulture%20write%20up_1.pdf
Swarming,झुंड,https://en.wikipedia.org/wiki/Swarming_(honey_bee)
Aqualculture Salinization/acidification of soils,जलीय कृषि लवणीकरण/मिट्टी का अम्लीकरण,https://en.wikipedia.org/wiki/Aquaculture#Salinization/acidification_of_soils
Forestry in India,भारत में वानिकी,https://en.wikipedia.org/wiki/Forestry_in_India
Sheep farming Environmental Impact,भेड़ पालन पर्यावरणीय प्रभाव,https://en.wikipedia.org/wiki/Sheep_farming#Environmental_Impact
Jute,जूट,https://en.wikipedia.org/wiki/Jute
Logging‎,लॉगिंग‎,"https://en.wikipedia.org/wiki/Logging#:~:text=Logging%20is%20the%20process%20of,to%20a%20location%20for%20transport.&text=In%20forestry%2C%20the%20term%20logging,sawmill%20or%20a%20lumber%20yard."
Aquatic weed harvester,जलीय खरपतवार हार्वेस्टर,https://en.wikipedia.org/wiki/Aquatic_weed_harvester
Hardwood,दृढ़ लकड़ी,https://en.wikipedia.org/wiki/Hardwood
Eggfruit,एगफ्रूट,https://www.agrifarming.in/egg-fruit-farming
Vegetable farming,सब्जी की खेती,https://en.wikipedia.org/wiki/Vegetable_farming
Green Peas,हरे मटर,"https://www.bighaat.com/pages/green-peas-farming#:~:text=Green%20Peas%20cultivation%20requires%20soil,range%20of%206%20to%208."
Estuarine Fisheries,एस्टुअरीन मत्स्य पालन,https://www.slideshare.net/KASHMEERA-N-A/estuarine-fisheries-nak
Chitosan,काइटोसन,https://en.wikipedia.org/wiki/Natural_fiber#Chitosan
Plant breeding,पौधा का पालन पोषण,https://en.wikipedia.org/wiki/Selective_breeding#Plant_breeding
Ranching,पशुपालन,https://en.wikipedia.org/wiki/Ranching
Black gram,काला चना,https://agritech.tnau.ac.in/agriculture/CropProduction/Pulses/pulses_blackgram.html
Monocropping,मोनोक्रॉपिंग,https://www.greenmatters.com/p/what-is-monocropping
Lily,लिली,"https://www.agrifarming.in/lily-flower-farming#:~:text=Planting%20in%20Lily%20Flower%20Farming,60%20bulbs%2F%20square%20meter%20area."
Water-Effects on human civilization,जल-मानव सभ्यता पर प्रभाव,https://en.wikipedia.org/wiki/Water#Effects_on_human_civilization
Post- Harvesting Techniques,कटाई के बाद की तकनीक,https://www.intechopen.com/chapters/52197
Equipment used for honey extraction,शहद निकालने के लिए प्रयुक्त उपकरण,https://www.betterbee.com/harvesting-and-processing/harvesting-and-processing.asp
Marine Fisheries,समुद्री मात्स्यिकी,https://dof.gov.in/marine-fisheries
Bay leaf,बे पत्ती,https://www.agrifarming.in/bay-leaf-farming
Drought Impact in agriculture,कृषि में सूखे का प्रभाव,https://en.wikipedia.org/wiki/Category:Urban_forestry
Climate and Weather,जलवायु और मौसम,https://weather-and-climate.com/average-monthly-Rainfall-Temperature-Sunshine-in-India
Star Anise,चक्र फूल,"http://www.indianspices.com/spice-catalog/star-anise.html#:~:text=In%20India%2C%20it%20is%20produced,sunny%20edges%2C%20and%20dappled%20shade."
Cattle Reproduction,मवेशी प्रजनन,https://en.wikipedia.org/wiki/Dairy_cattle#Reproduction
Seed fiber,बीज फाइबर,https://en.wikipedia.org/w/index.php?title=Seed_fiber&action=edit&redlink=1
Coffee Usage/ production in India and worldwide,भारत और दुनिया भर में कॉफी का उपयोग / उत्पादन,https://www.indiacoffee.org/coffee-statistics.html
Breeds of Poultry,कुक्कुट की नस्लें,https://vikaspedia.in/agriculture/poultry/backyard-poultry/breeds-availability#section2
Animal welfare,पशु कल्याण,https://en.wikipedia.org/wiki/Aquaculture#Animal_welfare
Apiary,मधमक्खियों के पालने का स्थान,https://en.wikipedia.org/wiki/Apiary
Ridge Gourd,तोरई,"https://www.agrifarming.in/ridge-gourd-farming-information#:~:text=Ridge%20gourd%20can%20be%20grown,vegetable%20crop%20requires%20good%20drainage."
Post-harvest losses (vegetables),फसल के बाद के नुकसान (सब्जियां),https://en.wikipedia.org/wiki/Post-harvest_losses_(vegetables)
State wise agricultural productions in india,भारत में राज्यवार कृषि उत्पादन,https://agricoop.nic.in/sites/default/files/pocketbook_0.pdf
Rubber Uses,रबड़ का उपयोग,https://en.wikipedia.org/wiki/Natural_rubber#Uses
Indian sheep breeds,भारतीय भेड़ की नस्लें,https://krishijagran.com/animal-husbandry/best-sheep-breeds-in-india-for-highest-wool-meat/
Cumin,जीरा,https://www.agrifarming.in/cumin-farming
Mariculture Benefits,समुद्री कृषि लाभ,https://en.wikipedia.org/wiki/Mariculture#Benefits
Cattle,पशु,https://en.wikipedia.org/wiki/Cattle
Pointed Gourd,नुकीला लौकी,https://en.wikipedia.org/wiki/Trichosanthes_dioica
Cinnamon,दालचीनी,https://www.agrifarming.in/cinnamon-farming-information
Hemp Cultivation,भांग की खेती,https://en.wikipedia.org/wiki/Hemp#Cultivation
Bioshelter,बायोशेल्टर,https://en.wikipedia.org/wiki/Bioshelter
Vegetables,सब्जियां,https://en.wikipedia.org/wiki/Vegetable
Interest subvention for dairy sector,डेयरी क्षेत्र के लिए ब्याज सबवेंशन,https://vikaspedia.in/schemesall/schemes-for-farmers/interest-subvention-for-dairy-sector
Types of fodder,चारे के प्रकार,https://en.wikipedia.org/wiki/Fodder#Types
Greenhouse Usage in India and worldwide,भारत और दुनिया भर में ग्रीनहाउस का उपयोग,https://agricultureguruji.com/greenhouse-farming/
Broad Beans,व्यापक सेम,"https://agritech.tnau.ac.in/horticulture/horti_vegetables_broadbeans.html#:~:text=Broad%20beans%20thrives%20best%20in,This%20crop%20requires%20cool%20climate.&text=Sow%20the%20seeds%20during%20July%20%E2%80%93%20August%20or%20November%20%E2%80%93%20December.&text=The%20optimum%20seed%20rate%20is%2025%20kg%2Fha."
horticulture department in India,भारत में बागवानी विभाग,http://nhb.gov.in/
Rice production in India,भारत में चावल का उत्पादन,https://en.wikipedia.org/wiki/Rice_production_in_India
Hydroponics,हीड्रोपोनिक्स,https://en.wikipedia.org/wiki/Hydroponics
Hemp Harvesting,भांग की कटाई,https://www.asiafarming.com/industrial-hemp-cultivation-in-india
Types of other sea foods in india,भारत में अन्य समुद्री खाद्य पदार्थों के प्रकार,http://www.walkthroughindia.com/cuisines/delicious-seafood-cuisine-of-india/
List of Indian cattle breeds,भारतीय पशु नस्लों की सूची,https://en.wikipedia.org/wiki/List_of_Indian_cattle_breeds
Aeroponics,एरोपोनिक्स,https://en.wikipedia.org/wiki/Aeroponics
Plumeria,plumeria,https://www.thehindu.com/features/homes-and-gardens/plumeria-worlds-most-beloved-garden-plant/article3585171.ece
Intercropping,अंतर - फसल,https://en.wikipedia.org/wiki/Intercropping
Cluster Beans,गँवार फली,https://en.wikipedia.org/wiki/Guar
Irrigation Water sources,सिंचाई जल स्रोत,https://en.wikipedia.org/wiki/Irrigation#Water_sources
Pigeon pea / Red gram,अरहर मटर / लाल चना,https://vikaspedia.in/agriculture/crop-production/package-of-practices/pulses/pigeon-pea
Rubber Varieties,रबड़ की किस्में,https://en.wikipedia.org/wiki/Natural_rubber#Varieties
Genetic modification,अनुवंशिक संशोधन,https://en.wikipedia.org/wiki/Organic_farming#Genetic_modification
Permaculture,पर्माकल्चर,https://en.wikipedia.org/wiki/Permaculture
Indian Tea Association,भारतीय चाय संघ,https://en.wikipedia.org/wiki/Indian_Tea_Association
Grinder-mixer,ग्राइंडर-मिक्सर,https://en.wikipedia.org/wiki/Grinder-mixer
Goat diseases,बकरी के रोग,https://www.intechopen.com/online-first/76276
Winnower,विनोवर,https://en.wikipedia.org/wiki/Winnowing
Credit facility for farmers,किसानों के लिए ऋण सुविधा,https://vikaspedia.in/schemesall/schemes-for-farmers/credit-facility-for-farmers
Description of the symptoms of pest attack,कीट हमले के लक्षणों का विवरण,https://plantvillage.psu.edu/topics/symptoms/infos
Farm Equipment,कृषि उपकरण,https://www.holtags.com/types-of-farm-equipment-and-their-uses
Farmworkers,खेत मे काम करने वाले,https://en.wikipedia.org/wiki/Farmworker
Alpaca,अलपाका,https://en.wikipedia.org/wiki/Alpaca#Fiber
Agricultural Marketing,कृषि विपणन,https://agritech.tnau.ac.in/agricultural_marketing/agrimark_India.html
Crop choice,फसल का चुनाव,https://en.wikipedia.org/wiki/Crop_rotation#Crop_choice
Seedlings - Varieties and Hybrids,अंकुर - किस्में और संकर,https://www.gardeningknowhow.com/garden-how-to/propagation/seeds/non-hybrid-seeds-vs-hybrid-seeds.htm
Radish,मूली,"https://www.agrifarming.in/radish-farming-information#:~:text=Radish%20grows%20in%20any%20type,more%20suitable%20for%20radish%20farming."
Rye,राई,https://en.wikipedia.org/wiki/Rye
Leaf fiber,पत्ता फाइबर,https://en.wikipedia.org/wiki/Leaf_fiber
Intensive Farming,गहन कृषि,https://www.britannica.com/topic/intensive-agriculture
Food Safety,खाद्य सुरक्षा,https://nifa.usda.gov/topic/food-safety
Tools and equipments available in the market,बाजार में उपलब्ध उपकरण और उपकरण,https://www.tractorjunction.com/blog/top-10-agriculture-equipments-for-farmer-benefits/
Banana Flower,केले का फूल,https://kids.frontiersin.org/articles/10.3389/frym.2018.00060
Catgut,तार,https://en.wikipedia.org/wiki/Catgut
Chickpeas (Green),चना (हरा),https://www.agrifarming.in/chickpea-farming
Dairy farming History,डेयरी फार्मिंग इतिहास,https://en.wikipedia.org/wiki/Dairy_farming#History
Butterfly gardening,तितली बागवानी,https://en.wikipedia.org/wiki/Butterfly_gardening
Agricultural marketing,कृषि विपणन,https://en.wikipedia.org/wiki/Agricultural_marketing
Climate change and agriculture,जलवायु परिवर्तन और कृषि,https://en.wikipedia.org/wiki/Climate_change_and_agriculture
Crop weeds,फसल मातम,https://en.wikipedia.org/wiki/Crop_weeds
Pansy,स्रीवत,"https://www.agrifarming.in/growing-pansy-flowers-a-full-planting-guide#:~:text=Pansy%20flowers%20will%20bloom%20best,if%20grown%20in%20partial%20shade.&text=To%20get%20the%20most%20from,pH%20levels%206.0%20to%206.2."
Indian Squash,भारतीय स्क्वैश,"https://www.agrifarming.in/squash-farming#:~:text=As%20the%20squash%20is%20warm,containers%20and%20backyards%20as%20well."
Farmers protest,किसानों का विरोध,https://en.wikipedia.org/wiki/2020%E2%80%932021_Indian_farmers%27_protest
Goats products,बकरी के उत्पाद,https://sare.org/wp-content/uploads/MGPP-Chapter2-ValueAdded-2.ppt
Sesame Seeds,तिल के बीज,"https://vikaspedia.in/agriculture/crop-production/package-of-practices/oilseeds/sesame-1#:~:text=The%20average%20yield%20of%20sesame,(535%20kg%20%2F%20ha).&text=The%20crop%20is%20grown%20in,Gujarat%2C%20Andhra%20Pradesh%20and%20Telangana."
Papaya,पपीता,https://www.agrifarming.in/papaya-farming
Agricultural land cost in India,भारत में कृषि भूमि की लागत,https://www.ideasforindia.in/topics/governance/land-in-india-market-price-vs-fundamental-value.html
Red lentils,लाल दाल,https://www.producer.com/news/india-eyes-red-lentil-self-sufficiency/
Artificial selection,कृत्रिम चयन,https://en.wikipedia.org/wiki/Artificial_selection
Cudpahnut,कडपहनुत,https://ciah.icar.gov.in/publication/Technical_bulletin/Chironji.pdf
Ivy Guourd,आइवी गौर्डो,https://en.wikipedia.org/wiki/Coccinia_grandis
Mower-conditioners,घास काटने की मशीन कंडीशनर,https://en.wikipedia.org/wiki/Conditioner_(farming)#Mower-conditioners
Trapping,फँसाने,https://en.wikipedia.org/wiki/Fishing_techniques#Trapping
Surface water,सतही जल,https://en.wikipedia.org/wiki/Water_resources#Surface_water
"Single nutrient (""straight"") fertilizers","एकल पोषक तत्व (""सीधे"") उर्वरक",https://en.wikipedia.org/wiki/Fertilizer#Single_nutrient_(%22straight%22)_fertilizers
Raw Banana,कच्चा केला,https://www.agrifarming.in/curry-banana-cultivation-income-raw-banana-and-yield
Animal husbandry Breeding,पशुपालन प्रजनन,https://en.wikipedia.org/wiki/Animal_husbandry#Breeding
Grapes,अंगूर,https://en.wikipedia.org/wiki/Grape
Tamarind,इमली,https://en.wikipedia.org/wiki/Tamarind
Traditional fishing boats,पारंपरिक मछली पकड़ने की नावें,https://en.wikipedia.org/wiki/Traditional_fishing_boats
Freshwater prawn farming,मीठे पानी में झींगा की खेती,https://en.wikipedia.org/wiki/Freshwater_prawn_farming
Grain dryer,अनाज सुखाने की मशीन,https://en.wikipedia.org/wiki/Grain_drying
Amaranth Millet (Rajgira/Ramdana/Chola),अमरनाथ बाजरा (राजगिरा/रामदाना/चोला),https://www.ugaoo.com/knowledge-center/growing-amaranths-the-cosmopolitan-plants/
Fertilisers,उर्वरकों,https://en.wikipedia.org/wiki/Fertilisers
Milk production levels,दूध उत्पादन का स्तर,https://en.wikipedia.org/wiki/Dairy_cattle#Milk_production_levels
Harvest festival,किसानी का त्यौहार,https://en.wikipedia.org/wiki/Harvest_festival
Algaculture,शैवाल पालन,https://en.wikipedia.org/wiki/Algaculture
Lift irrigation scheme,लिफ्ट सिंचाई योजना,https://en.wikipedia.org/wiki/Lift_irrigation_scheme
Molluscicides,मोलस्किसाइड्स,https://en.wikipedia.org/wiki/Molluscicides
Meat-producing chickens,मांस पैदा करने वाली मुर्गियां,https://en.wikipedia.org/wiki/Poultry_farming#Meat-producing_chickens_%E2%80%93_husbandry_systems
Organic farming Economics,जैविक खेती अर्थशास्त्र,https://en.wikipedia.org/wiki/Organic_farming#Economics
Rubber Properties,रबर गुण,https://en.wikipedia.org/wiki/Natural_rubber#Properties
Coffee,कॉफ़ी,https://en.wikipedia.org/wiki/Coffee
Pearl farming in india and worldwide,भारत और दुनिया भर में मोती की खेती,https://aatmnirbharsena.org/blog/pearl-farming-in-india/
Cypress Vine,सरू की बेल,"http://designgreenindia.blogspot.com/2013/10/best-tips-for-growing-cypress-vine.html#:~:text=You%20can%20sow%20seeds%20in%20spring%20%2C%20May%20is%20good.&text=Use%20container%20with%20adequate%20number,doesn't%20like%20wet%20feet.&text=Cypress%20vine%20likes%20rich%2C%20well,Go%20for%20loamy%20soil."
Animal husbandry in India,भारत में पशुपालन,https://en.wikipedia.org/wiki/Animal_husbandry_in_India
Drought,सूखा,https://en.wikipedia.org/wiki/Drought
Lumber Types,लकड़ी के प्रकार,https://www.lampertlumber.com/hardware-store-products/lumber/types-of-lumber/
Contract farming,अनुबंध खेती,https://en.wikipedia.org/wiki/Contract_farming
Weed Dispersal,खरपतवार फैलाव,https://en.wikipedia.org/wiki/Weed#Dispersal
Shallots,shallots,https://en.wikipedia.org/wiki/Shallot
Sugarcane produce,गन्ना उत्पादन,https://iisr.icar.gov.in/iisr/aicrp/download/Sugarcane_in_India.pdf
Other groups of marine aqauaculture,समुद्री जलकृषि के अन्य समूह,https://en.wikipedia.org/wiki/Aquaculture#Other_groups
Dairy farming Market,डेयरी फार्मिंग मार्केट,https://en.wikipedia.org/wiki/Dairy_farming#Market
Agricultural education,कृषि शिक्षा,https://en.wikipedia.org/wiki/Agricultural_education
Indian agriculture after independence,स्वतंत्रता के बाद भारतीय कृषि,https://en.wikipedia.org/wiki/Agriculture_in_India#Indian_agriculture_after_independence
Coffee History,कॉफी इतिहास,https://en.wikipedia.org/wiki/Coffee#History
"Sheep diseases, health","भेड़ रोग, स्वास्थ्य",https://www.extension.purdue.edu/extmedia/as/as-595-commondiseases.pdf
Pest Management,कीट प्रबंधन,https://nifa.usda.gov/topic/pest-management
Amaranth,अम्लान रंगीन पुष्प का पौध,https://en.wikipedia.org/wiki/Amaranth
Beehive,मधुमुखी का छत्ता,https://en.wikipedia.org/wiki/Beehive
Corn,मक्का,https://www.britannica.com/plant/corn-plant
Carom Seeds,अजवाइन,https://www.agrifarming.in/ajwain-cultivation-income-carom-seeds-project-report
Composting,खाद,https://en.wikipedia.org/wiki/Category:Composting
Calf,बछड़ा,https://en.wikipedia.org/wiki/Dairy_cattle#Calf
Major products and yields in India,भारत में प्रमुख उत्पाद और पैदावार,https://en.wikipedia.org/wiki/Agriculture_in_India#Major_products_and_yields
Little Millet (Moraiyo/Kutki/Shavan/Sama),बाजरा,https://www.millets.res.in/technologies/brochures/Little_Millet_Brochure.pdf
Land records,भूमि अभिलेख,https://moneyexcel.com/13096/check-property-records-land-records-online/
Viticulture,अंगूर की खेती,https://en.wikipedia.org/wiki/Viticulture
Purple Yam,बैंगनी यामी,https://en.wikipedia.org/wiki/Dioscorea_alata
Crape Jasmine,क्रेप जैस्मीन,https://www.gardeningknowhow.com/ornamental/shrubs/crepe-jasmine/growing-crepe-jasmine.htm
Organic cotton,कार्बनिक कपास,https://en.wikipedia.org/wiki/Organic_cotton
Field beans,फील्ड बीन्स,"https://agritech.tnau.ac.in/horticulture/horti_vegetables_broadbeans.html#:~:text=Broad%20beans%20thrives%20best%20in,This%20crop%20requires%20cool%20climate.&text=Sow%20the%20seeds%20during%20July%20%E2%80%93%20August%20or%20November%20%E2%80%93%20December.&text=The%20optimum%20seed%20rate%20is%2025%20kg%2Fha."
Nursery,नर्सरी,https://en.wikipedia.org/wiki/Plant_nursery
Zaid,ज़ैद,https://en.wikipedia.org/wiki/Zaid_crops
Hibiscus,हिबिस्कुस,https://www.agrifarming.in/hibiscus-cultivation
Pea,मटर,"https://krishijagran.com/agripedia/complete-guide-to-pea-cultivation-top-varieties-climate-soil-requirement-fertilizer-treatment-pest-control-and-harvesting/#:~:text=For%20pea%20cultivation%2C%20temperature%20should,25%20to%2030%20degree%20Celsius."
Types of pollinators,परागणकों के प्रकार,https://en.wikipedia.org/wiki/Pollination_management#Types_of_pollinators
Coriander Leaves,धनिये के पत्ते,https://en.wikipedia.org/wiki/Coriander
Mower,घास काटने की मशीन,https://en.wikipedia.org/wiki/Mower
Oyster farming,सीप की खेती,https://en.wikipedia.org/wiki/Oyster_farming
Types of cultivation for particular crop,विशेष फसल के लिए खेती के प्रकार,https://kalsepadaishuru.com/types-of-agriculture-in-india/
Arabian Jasmine,अरबी चमेली,"https://www.ugaoo.com/knowledge-center/growing-mogra-arabian-jasmine-plant/#:~:text=Mogra%20is%20propagated%20by%20stem,method%20is%20the%20rainy%20season."
Pastoralism,ग्रामीण काव्य,https://en.wikipedia.org/wiki/Pastoralism
Farm laws,कृषि कानून,https://en.wikipedia.org/wiki/2020_Indian_agriculture_acts
Pollination management,परागण प्रबंधन,https://en.wikipedia.org/wiki/Pollination_management
Stalk fiber,डंठल फाइबर,https://en.wikipedia.org/w/index.php?title=Stalk_fiber&action=edit&redlink=1
Soil management,मृदा प्रबंधन,https://en.wikipedia.org/wiki/Organic_farming#Soil_management
Rainfed Area Development Programme (RADP),बारानी क्षेत्र विकास कार्यक्रम (आरएडीपी),https://agricoop.nic.in/sites/default/files/RADP5913.pdf
Soil Compostion,मिट्टी की संरचना,https://www.ctahr.hawaii.edu/mauisoil/a_comp.aspx
Toor dal,तूर दाल,https://www.agrifarming.in/toor-dal-farming
National Mission for Sustainable Agriculture (NMSA),सतत कृषि के लिए राष्ट्रीय मिशन (एनएमएसए),https://nmsa.dac.gov.in/
Cherry,चेरी,https://en.wikipedia.org/wiki/Cherry
Green manure,हरी खाद,https://en.wikipedia.org/wiki/Manure#Green_manure
Germination,अंकुरण,https://en.wikipedia.org/wiki/Germination
Garlic,लहसुन,https://agritech.tnau.ac.in/horticulture/horti_vegetables_garlic.html
Agriculture and Indian economy,कृषि और भारतीय अर्थव्यवस्था,https://en.wikipedia.org/wiki/Agriculture_in_India#Agriculture_and_Indian_economy
Aeroponics in space,अंतरिक्ष में एरोपोनिक्स,https://en.wikipedia.org/wiki/Aeroponics#Aeroponics_in_space
Fruit tree pruning,फलों के पेड़ की छंटाई,https://en.wikipedia.org/wiki/Fruit_tree_pruning
Post-harvest losses (grains),फसल के बाद के नुकसान (अनाज),https://en.wikipedia.org/wiki/Post-harvest_losses_(grains)
Fishing in India,भारत में मत्स्य पालन,https://en.wikipedia.org/wiki/Fishing_in_India
"Maize, Corn",मक्का के दाने,https://krishijagran.com/agripedia/cultivation-of-maize-step-by-step-method-explained/
Animal manure,जानवर का खाद,https://en.wikipedia.org/wiki/Manure#Animal_manure
Liming and acidifying agents,सीमित और अम्लीकरण एजेंट,https://en.wikipedia.org/wiki/Acidifying_agent
Crops survery,फसल सर्वेक्षण,http://mospi.nic.in/agriculture-statistics
Ginger,अदरक,https://agritech.tnau.ac.in/horticulture/horti_spice%20crops_ginger_productiontech.html
Pearl Fisheries,मोती मत्स्य पालन,https://www.biologydiscussion.com/invertebrate-zoology/phylum-mollusca/pearl-fishery-in-india/33001
Dry Agriculture,शुष्क कृषि,https://www.britannica.com/topic/dry-farming
Diary cattle Management,डायरी मवेशी प्रबंधन,https://en.wikipedia.org/wiki/Dairy_cattle#Management
Mushrooms (EDIBLE),मशरूम (खाद्य),https://en.wikipedia.org/wiki/Mushroom
Lumber,लकड़ी,https://en.wikipedia.org/wiki/Lumber
Types of crustaceans,क्रस्टेशियंस के प्रकार,https://www.dkfindout.com/uk/animals-and-nature/crustaceans/
Water On Earth,पृथ्वी पर जल,https://en.wikipedia.org/wiki/Water#On_Earth
Mariculture,सागरीय कृषि,https://en.wikipedia.org/wiki/Mariculture
